bssid,essid,rssi,point
18:D6:C7:0F:63:8A,19BC,-38,14
E6:5F:01:D1:0F:68,main,-55,14
F4:2E:7F:1B:49:21,eduroam-IPv6only,-71,14
F4:2E:7F:1B:49:23,mwn-events,-72,14
F4:2E:7F:1B:49:25,HM-iotroam,-71,14
18:D6:C7:0A:8A:1F,1209,-44,14
60:E3:27:1C:2C:A4,1B45,-40,14
18:D6:C7:0C:AB:C7,1AD3,-49,14
34:FC:B9:73:30:E0,eduroam,-42,14
34:FC:B9:73:30:E1,eduroam-IPv6only,-43,14
34:FC:B9:73:30:E2,lrz,-43,14
34:FC:B9:73:30:E3,mwn-events,-43,14
34:FC:B9:73:30:E4,@BayernWLAN,-44,14
34:FC:B9:73:30:E5,HM-iotroam,-43,14
F4:2E:7F:1B:49:20,eduroam,-68,14
F4:2E:7F:1B:49:22,lrz,-71,14
F4:2E:7F:1B:49:24,@BayernWLAN,-69,14
38:17:C3:44:90:60,eduroam,-84,14
34:FC:B9:73:2D:E0,eduroam,-91,14
38:17:C3:44:90:64,@BayernWLAN,-85,14
38:17:C3:44:90:61,eduroam-IPv6only,-85,14
38:17:C3:44:90:62,lrz,-84,14
38:17:C3:44:90:63,mwn-events,-84,14
38:17:C3:44:90:65,HM-iotroam,-84,14
3A:3F:B3:09:5E:EA,Vodafone Homespot,-87,14
3A:3F:B3:09:5E:EC,Vodafone Hotspot,-90,14
18:D6:C7:0F:63:8A,19BC,-39,14
E6:5F:01:D1:0F:68,main,-48,14
F4:2E:7F:1B:49:21,eduroam-IPv6only,-67,14
F4:2E:7F:1B:49:23,mwn-events,-67,14
F4:2E:7F:1B:49:25,HM-iotroam,-67,14
18:D6:C7:0A:8A:1F,1209,-45,14
60:E3:27:1C:2C:A4,1B45,-38,14
18:D6:C7:0C:AB:C7,1AD3,-46,14
34:FC:B9:73:30:E0,eduroam,-41,14
34:FC:B9:73:30:E1,eduroam-IPv6only,-41,14
34:FC:B9:73:30:E2,lrz,-42,14
34:FC:B9:73:30:E3,mwn-events,-43,14
34:FC:B9:73:30:E4,@BayernWLAN,-40,14
34:FC:B9:73:30:E5,HM-iotroam,-43,14
F4:2E:7F:1B:49:20,eduroam,-67,14
F4:2E:7F:1B:49:22,lrz,-67,14
F4:2E:7F:1B:49:24,@BayernWLAN,-68,14
38:17:C3:44:90:60,eduroam,-84,14
34:FC:B9:73:2D:E0,eduroam,-91,14
38:17:C3:44:90:64,@BayernWLAN,-83,14
38:17:C3:44:90:61,eduroam-IPv6only,-85,14
