bssid,essid,rssi,point
18:D6:C7:0F:63:8A,19BC,-45,15
E6:5F:01:D1:0F:68,main,-39,15
F4:2E:7F:1B:49:21,eduroam-IPv6only,-69,15
F4:2E:7F:1B:49:23,mwn-events,-69,15
F4:2E:7F:1B:49:25,HM-iotroam,-69,15
18:D6:C7:0A:8A:1F,1209,-35,15
60:E3:27:1C:2C:A4,1B45,-47,15
18:D6:C7:0C:AB:C7,1AD3,-41,15
34:FC:B9:73:30:E0,eduroam,-42,15
34:FC:B9:73:30:E1,eduroam-IPv6only,-42,15
34:FC:B9:73:30:E2,lrz,-43,15
34:FC:B9:73:30:E3,mwn-events,-43,15
34:FC:B9:73:30:E4,@BayernWLAN,-43,15
34:FC:B9:73:30:E5,HM-iotroam,-43,15
F4:2E:7F:1B:49:20,eduroam,-68,15
F4:2E:7F:1B:49:22,lrz,-69,15
F4:2E:7F:1B:49:24,@BayernWLAN,-69,15
3A:3F:B3:09:5E:EC,Vodafone Hotspot,-91,15
3A:3F:B3:09:5E:EA,Vodafone Homespot,-91,15
38:3F:B3:09:5E:E8,Vodafone-5EE4,-89,15
34:FC:B9:73:33:80,eduroam,-88,15
34:FC:B9:73:33:82,lrz,-85,15
34:FC:B9:73:33:83,mwn-events,-84,15
38:17:C3:44:90:60,eduroam,-82,15
34:FC:B9:73:2D:E0,eduroam,-90,15
38:17:C3:44:90:64,@BayernWLAN,-82,15
38:17:C3:44:90:61,eduroam-IPv6only,-83,15
38:17:C3:44:90:62,lrz,-83,15
38:17:C3:44:90:63,mwn-events,-83,15
18:D6:C7:0F:63:8A,19BC,-43,15
E6:5F:01:D1:0F:68,main,-40,15
F4:2E:7F:1B:49:21,eduroam-IPv6only,-71,15
F4:2E:7F:1B:49:23,mwn-events,-69,15
F4:2E:7F:1B:49:25,HM-iotroam,-69,15
18:D6:C7:0A:8A:1F,1209,-37,15
60:E3:27:1C:2C:A4,1B45,-46,15
18:D6:C7:0C:AB:C7,1AD3,-43,15
34:FC:B9:73:30:E0,eduroam,-43,15
34:FC:B9:73:30:E1,eduroam-IPv6only,-42,15
34:FC:B9:73:30:E2,lrz,-42,15
34:FC:B9:73:30:E3,mwn-events,-43,15
34:FC:B9:73:30:E4,@BayernWLAN,-42,15
34:FC:B9:73:30:E5,HM-iotroam,-42,15
F4:2E:7F:1B:49:20,eduroam,-69,15
F4:2E:7F:1B:49:22,lrz,-69,15
F4:2E:7F:1B:49:24,@BayernWLAN,-69,15
34:FC:B9:73:33:80,eduroam,-88,15
38:17:C3:44:90:60,eduroam,-83,15
34:FC:B9:73:2D:E0,eduroam,-90,15
38:17:C3:44:90:64,@BayernWLAN,-82,15
38:17:C3:44:90:61,eduroam-IPv6only,-85,15
38:17:C3:44:90:62,lrz,-83,15
38:17:C3:44:90:63,mwn-events,-84,15
C8:A6:08:41:9C:F0,ISB-BYOD,-87,15
38:17:C3:44:90:65,HM-iotroam,-83,15
18:D6:C7:0F:63:8A,19BC,-41,15
E6:5F:01:D1:0F:68,main,-42,15
F4:2E:7F:1B:49:21,eduroam-IPv6only,-69,15
F4:2E:7F:1B:49:23,mwn-events,-70,15
F4:2E:7F:1B:49:25,HM-iotroam,-70,15
18:D6:C7:0A:8A:1F,1209,-34,15
60:E3:27:1C:2C:A4,1B45,-45,15
18:D6:C7:0C:AB:C7,1AD3,-43,15
34:FC:B9:73:30:E0,eduroam,-41,15
34:FC:B9:73:30:E1,eduroam-IPv6only,-42,15
34:FC:B9:73:30:E2,lrz,-42,15
34:FC:B9:73:30:E3,mwn-events,-42,15
34:FC:B9:73:30:E4,@BayernWLAN,-42,15
34:FC:B9:73:30:E5,HM-iotroam,-43,15
F4:2E:7F:1B:49:20,eduroam,-69,15
F4:2E:7F:1B:49:22,lrz,-70,15
F4:2E:7F:1B:49:24,@BayernWLAN,-70,15
34:FC:B9:73:33:80,eduroam,-88,15
38:17:C3:44:90:60,eduroam,-83,15
34:FC:B9:73:2D:E0,eduroam,-90,15
38:17:C3:44:90:64,@BayernWLAN,-82,15
38:17:C3:44:90:61,eduroam-IPv6only,-85,15
38:17:C3:44:90:62,lrz,-83,15
38:17:C3:44:90:63,mwn-events,-84,15
C8:A6:08:41:9C:F0,ISB-BYOD,-87,15
38:17:C3:44:90:65,HM-iotroam,-83,15
18:D6:C7:0F:63:8A,19BC,-43,15
E6:5F:01:D1:0F:68,main,-41,15
F4:2E:7F:1B:49:21,eduroam-IPv6only,-70,15
F4:2E:7F:1B:49:23,mwn-events,-70,15
F4:2E:7F:1B:49:25,HM-iotroam,-70,15
18:D6:C7:0A:8A:1F,1209,-35,15
60:E3:27:1C:2C:A4,1B45,-46,15
18:D6:C7:0C:AB:C7,1AD3,-41,15
34:FC:B9:73:30:E0,eduroam,-42,15
34:FC:B9:73:30:E1,eduroam-IPv6only,-41,15
34:FC:B9:73:30:E2,lrz,-42,15
34:FC:B9:73:30:E3,mwn-events,-42,15
34:FC:B9:73:30:E4,@BayernWLAN,-43,15
34:FC:B9:73:30:E5,HM-iotroam,-43,15
F4:2E:7F:1B:49:20,eduroam,-69,15
F4:2E:7F:1B:49:22,lrz,-69,15
F4:2E:7F:1B:49:24,@BayernWLAN,-70,15
34:FC:B9:73:33:80,eduroam,-88,15
38:17:C3:44:90:60,eduroam,-82,15
34:FC:B9:73:2D:E0,eduroam,-88,15
38:17:C3:44:90:64,@BayernWLAN,-82,15
38:17:C3:44:90:61,eduroam-IPv6only,-83,15
38:17:C3:44:90:62,lrz,-82,15
38:17:C3:44:90:63,mwn-events,-83,15
C8:A6:08:41:9C:F0,ISB-BYOD,-87,15
38:17:C3:44:90:65,HM-iotroam,-83,15
34:FC:B9:73:33:85,HM-iotroam,-88,15
18:D6:C7:0F:63:8A,19BC,-40,15
E6:5F:01:D1:0F:68,main,-40,15
F4:2E:7F:1B:49:21,eduroam-IPv6only,-70,15
F4:2E:7F:1B:49:23,mwn-events,-69,15
F4:2E:7F:1B:49:25,HM-iotroam,-69,15
18:D6:C7:0A:8A:1F,1209,-37,15
60:E3:27:1C:2C:A4,1B45,-45,15
18:D6:C7:0C:AB:C7,1AD3,-44,15
34:FC:B9:73:30:E0,eduroam,-42,15
34:FC:B9:73:30:E1,eduroam-IPv6only,-42,15
34:FC:B9:73:30:E2,lrz,-43,15
34:FC:B9:73:30:E3,mwn-events,-42,15
34:FC:B9:73:30:E4,@BayernWLAN,-44,15
34:FC:B9:73:30:E5,HM-iotroam,-41,15
F4:2E:7F:1B:49:20,eduroam,-69,15
F4:2E:7F:1B:49:22,lrz,-70,15
F4:2E:7F:1B:49:24,@BayernWLAN,-69,15
34:FC:B9:73:33:80,eduroam,-88,15
38:17:C3:44:90:60,eduroam,-82,15
34:FC:B9:73:2D:E0,eduroam,-90,15
38:17:C3:44:90:64,@BayernWLAN,-82,15
38:17:C3:44:90:61,eduroam-IPv6only,-83,15
38:17:C3:44:90:62,lrz,-82,15
38:17:C3:44:90:63,mwn-events,-83,15
C8:A6:08:41:9C:F0,ISB-BYOD,-87,15
38:17:C3:44:90:65,HM-iotroam,-83,15
34:FC:B9:73:33:85,HM-iotroam,-88,15
