bssid,essid,rssi,point
18:D6:C7:0F:63:8A,19BC,-51,3
E6:5F:01:D1:0F:68,main,-40,3
F4:2E:7F:1B:49:21,eduroam-IPv6only,-77,3
F4:2E:7F:1B:49:23,mwn-events,-73,3
F4:2E:7F:1B:49:25,HM-iotroam,-74,3
18:D6:C7:0A:8A:1F,1209,-40,3
60:E3:27:1C:2C:A4,1B45,-36,3
18:D6:C7:0C:AB:C7,1AD3,-40,3
34:FC:B9:73:30:E0,eduroam,-50,3
34:FC:B9:73:30:E1,eduroam-IPv6only,-51,3
34:FC:B9:73:30:E2,lrz,-51,3
34:FC:B9:73:30:E3,mwn-events,-51,3
34:FC:B9:73:30:E4,@BayernWLAN,-51,3
34:FC:B9:73:30:E5,HM-iotroam,-51,3
F4:2E:7F:1B:49:20,eduroam,-72,3
F4:2E:7F:1B:49:22,lrz,-74,3
F4:2E:7F:1B:49:24,@BayernWLAN,-72,3
34:FC:B9:73:33:80,eduroam,-86,3
38:17:C3:44:90:60,eduroam,-86,3
A8:40:41:20:54:00,dragino-205400,-87,3
A0:25:D7:CA:A1:C0,eduroam,-79,3
A0:25:D7:CA:A1:C1,eduroam-IPv6only,-79,3
A0:25:D7:CA:A1:C2,@BayernWLAN,-80,3
A0:25:D7:CA:A1:C3,lrz,-78,3
A0:25:D7:CA:A1:C4,mwn-events,-79,3
A0:25:D7:CA:A1:C5,HM-iotroam,-79,3
24:62:CE:19:A2:00,eduroam,-87,3
F4:2E:7F:1B:9B:C0,eduroam,-89,3
34:FC:B9:73:33:85,HM-iotroam,-85,3
34:FC:B9:73:33:81,eduroam-IPv6only,-86,3
18:D6:C7:0F:63:8A,19BC,-52,3
E6:5F:01:D1:0F:68,main,-42,3
F4:2E:7F:1B:49:21,eduroam-IPv6only,-71,3
F4:2E:7F:1B:49:23,mwn-events,-71,3
F4:2E:7F:1B:49:25,HM-iotroam,-72,3
18:D6:C7:0A:8A:1F,1209,-39,3
60:E3:27:1C:2C:A4,1B45,-37,3
18:D6:C7:0C:AB:C7,1AD3,-41,3
34:FC:B9:73:30:E0,eduroam,-49,3
34:FC:B9:73:30:E1,eduroam-IPv6only,-50,3
34:FC:B9:73:30:E2,lrz,-49,3
34:FC:B9:73:30:E3,mwn-events,-50,3
34:FC:B9:73:30:E4,@BayernWLAN,-51,3
34:FC:B9:73:30:E5,HM-iotroam,-50,3
F4:2E:7F:1B:49:20,eduroam,-70,3
F4:2E:7F:1B:49:22,lrz,-72,3
F4:2E:7F:1B:49:24,@BayernWLAN,-72,3
38:17:C3:44:90:60,eduroam,-89,3
18:D6:C7:0F:63:8A,19BC,-56,3
E6:5F:01:D1:0F:68,main,-39,3
F4:2E:7F:1B:49:21,eduroam-IPv6only,-73,3
F4:2E:7F:1B:49:23,mwn-events,-74,3
F4:2E:7F:1B:49:25,HM-iotroam,-74,3
18:D6:C7:0A:8A:1F,1209,-39,3
60:E3:27:1C:2C:A4,1B45,-37,3
18:D6:C7:0C:AB:C7,1AD3,-42,3
34:FC:B9:73:30:E0,eduroam,-50,3
34:FC:B9:73:30:E1,eduroam-IPv6only,-51,3
34:FC:B9:73:30:E2,lrz,-49,3
34:FC:B9:73:30:E3,mwn-events,-50,3
34:FC:B9:73:30:E4,@BayernWLAN,-50,3
34:FC:B9:73:30:E5,HM-iotroam,-50,3
F4:2E:7F:1B:49:20,eduroam,-73,3
F4:2E:7F:1B:49:22,lrz,-73,3
F4:2E:7F:1B:49:24,@BayernWLAN,-73,3
38:17:C3:44:90:60,eduroam,-89,3
A0:25:D7:CA:A1:C0,eduroam,-85,3
A0:25:D7:CA:A1:C1,eduroam-IPv6only,-85,3
A0:25:D7:CA:A1:C2,@BayernWLAN,-85,3
A0:25:D7:CA:A1:C4,mwn-events,-84,3
34:FC:B9:73:33:81,eduroam-IPv6only,-88,3
34:FC:B9:73:33:80,eduroam,-91,3
18:D6:C7:0F:63:8A,19BC,-59,3
E6:5F:01:D1:0F:68,main,-38,3
F4:2E:7F:1B:49:21,eduroam-IPv6only,-72,3
F4:2E:7F:1B:49:23,mwn-events,-73,3
F4:2E:7F:1B:49:25,HM-iotroam,-73,3
18:D6:C7:0A:8A:1F,1209,-40,3
60:E3:27:1C:2C:A4,1B45,-38,3
18:D6:C7:0C:AB:C7,1AD3,-43,3
34:FC:B9:73:30:E0,eduroam,-49,3
34:FC:B9:73:30:E1,eduroam-IPv6only,-49,3
34:FC:B9:73:30:E2,lrz,-50,3
34:FC:B9:73:30:E3,mwn-events,-49,3
34:FC:B9:73:30:E4,@BayernWLAN,-50,3
34:FC:B9:73:30:E5,HM-iotroam,-50,3
F4:2E:7F:1B:49:20,eduroam,-72,3
F4:2E:7F:1B:49:22,lrz,-73,3
F4:2E:7F:1B:49:24,@BayernWLAN,-73,3
38:17:C3:44:90:60,eduroam,-89,3
A0:25:D7:CA:A1:C0,eduroam,-85,3
A0:25:D7:CA:A1:C1,eduroam-IPv6only,-85,3
A0:25:D7:CA:A1:C2,@BayernWLAN,-85,3
A0:25:D7:CA:A1:C4,mwn-events,-84,3
34:FC:B9:73:33:81,eduroam-IPv6only,-88,3
34:FC:B9:73:33:80,eduroam,-91,3
18:D6:C7:0F:63:8A,19BC,-51,3
E6:5F:01:D1:0F:68,main,-41,3
F4:2E:7F:1B:49:21,eduroam-IPv6only,-75,3
F4:2E:7F:1B:49:23,mwn-events,-75,3
F4:2E:7F:1B:49:25,HM-iotroam,-75,3
18:D6:C7:0A:8A:1F,1209,-40,3
60:E3:27:1C:2C:A4,1B45,-35,3
18:D6:C7:0C:AB:C7,1AD3,-40,3
34:FC:B9:73:30:E0,eduroam,-50,3
34:FC:B9:73:30:E1,eduroam-IPv6only,-50,3
34:FC:B9:73:30:E2,lrz,-50,3
34:FC:B9:73:30:E3,mwn-events,-49,3
34:FC:B9:73:30:E4,@BayernWLAN,-51,3
34:FC:B9:73:30:E5,HM-iotroam,-47,3
F4:2E:7F:1B:49:20,eduroam,-74,3
F4:2E:7F:1B:49:22,lrz,-75,3
F4:2E:7F:1B:49:24,@BayernWLAN,-75,3
38:17:C3:44:90:60,eduroam,-89,3
A0:25:D7:CA:A1:C0,eduroam,-85,3
A0:25:D7:CA:A1:C1,eduroam-IPv6only,-85,3
A0:25:D7:CA:A1:C2,@BayernWLAN,-85,3
A0:25:D7:CA:A1:C4,mwn-events,-84,3
34:FC:B9:73:33:81,eduroam-IPv6only,-88,3
34:FC:B9:73:33:80,eduroam,-91,3
