bssid,essid,rssi,point
18:D6:C7:0F:63:8A,19BC,-43,4
E6:5F:01:D1:0F:68,main,-41,4
F4:2E:7F:1B:49:21,eduroam-IPv6only,-74,4
F4:2E:7F:1B:49:23,mwn-events,-74,4
F4:2E:7F:1B:49:25,HM-iotroam,-74,4
18:D6:C7:0A:8A:1F,1209,-26,4
60:E3:27:1C:2C:A4,1B45,-48,4
18:D6:C7:0C:AB:C7,1AD3,-39,4
34:FC:B9:73:30:E0,eduroam,-39,4
34:FC:B9:73:30:E1,eduroam-IPv6only,-39,4
34:FC:B9:73:30:E2,lrz,-39,4
34:FC:B9:73:30:E3,mwn-events,-41,4
34:FC:B9:73:30:E4,@BayernWLAN,-40,4
34:FC:B9:73:30:E5,HM-iotroam,-41,4
F4:2E:7F:1B:49:20,eduroam,-73,4
F4:2E:7F:1B:49:22,lrz,-74,4
F4:2E:7F:1B:49:24,@BayernWLAN,-74,4
3A:3F:B3:09:5E:EC,Vodafone Hotspot,-92,4
4C:1B:86:2F:07:73,o2-WLAN77,-88,4
34:FC:B9:73:33:82,lrz,-87,4
34:FC:B9:73:33:85,HM-iotroam,-88,4
18:D6:C7:0F:63:8A,19BC,-41,4
E6:5F:01:D1:0F:68,main,-43,4
F4:2E:7F:1B:49:21,eduroam-IPv6only,-77,4
F4:2E:7F:1B:49:23,mwn-events,-77,4
F4:2E:7F:1B:49:25,HM-iotroam,-78,4
18:D6:C7:0A:8A:1F,1209,-25,4
60:E3:27:1C:2C:A4,1B45,-43,4
18:D6:C7:0C:AB:C7,1AD3,-39,4
34:FC:B9:73:30:E0,eduroam,-39,4
34:FC:B9:73:30:E1,eduroam-IPv6only,-40,4
34:FC:B9:73:30:E2,lrz,-40,4
34:FC:B9:73:30:E3,mwn-events,-40,4
34:FC:B9:73:30:E4,@BayernWLAN,-40,4
34:FC:B9:73:30:E5,HM-iotroam,-42,4
F4:2E:7F:1B:49:20,eduroam,-76,4
F4:2E:7F:1B:49:22,lrz,-76,4
F4:2E:7F:1B:49:24,@BayernWLAN,-76,4
3A:3F:B3:09:5E:EC,Vodafone Hotspot,-89,4
4C:1B:86:2F:07:73,o2-WLAN77,-91,4
34:FC:B9:73:33:82,lrz,-87,4
34:FC:B9:73:33:85,HM-iotroam,-87,4
A0:25:D7:CA:A1:C0,eduroam,-89,4
34:FC:B9:73:33:80,eduroam,-86,4
18:D6:C7:0F:63:8A,19BC,-40,4
E6:5F:01:D1:0F:68,main,-44,4
F4:2E:7F:1B:49:21,eduroam-IPv6only,-76,4
F4:2E:7F:1B:49:23,mwn-events,-75,4
F4:2E:7F:1B:49:25,HM-iotroam,-77,4
18:D6:C7:0A:8A:1F,1209,-27,4
60:E3:27:1C:2C:A4,1B45,-45,4
18:D6:C7:0C:AB:C7,1AD3,-40,4
34:FC:B9:73:30:E0,eduroam,-40,4
34:FC:B9:73:30:E1,eduroam-IPv6only,-39,4
34:FC:B9:73:30:E2,lrz,-40,4
34:FC:B9:73:30:E3,mwn-events,-40,4
34:FC:B9:73:30:E4,@BayernWLAN,-42,4
34:FC:B9:73:30:E5,HM-iotroam,-41,4
F4:2E:7F:1B:49:20,eduroam,-76,4
F4:2E:7F:1B:49:22,lrz,-77,4
F4:2E:7F:1B:49:24,@BayernWLAN,-77,4
3A:3F:B3:09:5E:EC,Vodafone Hotspot,-89,4
4C:1B:86:2F:07:73,o2-WLAN77,-91,4
34:FC:B9:73:33:82,lrz,-87,4
34:FC:B9:73:33:85,HM-iotroam,-87,4
A0:25:D7:CA:A1:C0,eduroam,-85,4
34:FC:B9:73:33:80,eduroam,-86,4
38:3F:B3:09:5E:E8,Vodafone-5EE4,-92,4
38:17:C3:44:90:60,eduroam,-89,4
18:D6:C7:0F:63:8A,19BC,-41,4
E6:5F:01:D1:0F:68,main,-44,4
F4:2E:7F:1B:49:21,eduroam-IPv6only,-75,4
F4:2E:7F:1B:49:23,mwn-events,-76,4
F4:2E:7F:1B:49:25,HM-iotroam,-76,4
18:D6:C7:0A:8A:1F,1209,-27,4
60:E3:27:1C:2C:A4,1B45,-45,4
18:D6:C7:0C:AB:C7,1AD3,-40,4
34:FC:B9:73:30:E0,eduroam,-40,4
34:FC:B9:73:30:E1,eduroam-IPv6only,-40,4
34:FC:B9:73:30:E2,lrz,-40,4
34:FC:B9:73:30:E3,mwn-events,-41,4
34:FC:B9:73:30:E4,@BayernWLAN,-41,4
34:FC:B9:73:30:E5,HM-iotroam,-41,4
F4:2E:7F:1B:49:20,eduroam,-75,4
F4:2E:7F:1B:49:22,lrz,-76,4
F4:2E:7F:1B:49:24,@BayernWLAN,-76,4
3A:3F:B3:09:5E:EC,Vodafone Hotspot,-92,4
4C:1B:86:2F:07:73,o2-WLAN77,-91,4
34:FC:B9:73:33:82,lrz,-87,4
34:FC:B9:73:33:85,HM-iotroam,-87,4
A0:25:D7:CA:A1:C0,eduroam,-85,4
34:FC:B9:73:33:80,eduroam,-86,4
38:3F:B3:09:5E:E8,Vodafone-5EE4,-92,4
38:17:C3:44:90:60,eduroam,-89,4
3A:3F:B3:09:5E:EA,Vodafone Homespot,-90,4
18:D6:C7:0F:63:8A,19BC,-40,4
E6:5F:01:D1:0F:68,main,-42,4
F4:2E:7F:1B:49:21,eduroam-IPv6only,-74,4
F4:2E:7F:1B:49:23,mwn-events,-75,4
F4:2E:7F:1B:49:25,HM-iotroam,-75,4
18:D6:C7:0A:8A:1F,1209,-26,4
60:E3:27:1C:2C:A4,1B45,-44,4
18:D6:C7:0C:AB:C7,1AD3,-40,4
34:FC:B9:73:30:E0,eduroam,-40,4
34:FC:B9:73:30:E1,eduroam-IPv6only,-41,4
34:FC:B9:73:30:E2,lrz,-41,4
34:FC:B9:73:30:E3,mwn-events,-41,4
34:FC:B9:73:30:E4,@BayernWLAN,-41,4
34:FC:B9:73:30:E5,HM-iotroam,-40,4
F4:2E:7F:1B:49:20,eduroam,-75,4
F4:2E:7F:1B:49:22,lrz,-75,4
F4:2E:7F:1B:49:24,@BayernWLAN,-75,4
3A:3F:B3:09:5E:EC,Vodafone Hotspot,-93,4
