bssid,essid,rssi,point
18:D6:C7:0F:63:8A,19BC,-41,7
E6:5F:01:D1:0F:68,main,-17,7
F4:2E:7F:1B:49:21,eduroam-IPv6only,-70,7
F4:2E:7F:1B:49:23,mwn-events,-71,7
F4:2E:7F:1B:49:25,HM-iotroam,-70,7
18:D6:C7:0A:8A:1F,1209,-23,7
60:E3:27:1C:2C:A4,1B45,-31,7
18:D6:C7:0C:AB:C7,1AD3,-53,7
34:FC:B9:73:30:E0,eduroam,-49,7
34:FC:B9:73:30:E1,eduroam-IPv6only,-45,7
34:FC:B9:73:30:E2,lrz,-44,7
34:FC:B9:73:30:E3,mwn-events,-46,7
34:FC:B9:73:30:E4,@BayernWLAN,-52,7
34:FC:B9:73:30:E5,HM-iotroam,-46,7
F4:2E:7F:1B:49:20,eduroam,-70,7
F4:2E:7F:1B:49:22,lrz,-69,7
F4:2E:7F:1B:49:24,@BayernWLAN,-71,7
38:17:C3:44:90:60,eduroam,-84,7
38:17:C3:44:90:63,mwn-events,-84,7
38:17:C3:44:90:64,@BayernWLAN,-85,7
38:17:C3:44:90:65,HM-iotroam,-84,7
38:17:C3:44:90:62,lrz,-85,7
FC:7F:F1:C4:C8:C0,eduroam,-88,7
FC:7F:F1:C4:C8:C1,eduroam-IPv6only,-89,7
18:D6:C7:0F:63:8A,19BC,-40,7
E6:5F:01:D1:0F:68,main,-17,7
F4:2E:7F:1B:49:21,eduroam-IPv6only,-71,7
F4:2E:7F:1B:49:23,mwn-events,-69,7
F4:2E:7F:1B:49:25,HM-iotroam,-72,7
18:D6:C7:0A:8A:1F,1209,-23,7
60:E3:27:1C:2C:A4,1B45,-30,7
18:D6:C7:0C:AB:C7,1AD3,-60,7
34:FC:B9:73:30:E0,eduroam,-53,7
34:FC:B9:73:30:E1,eduroam-IPv6only,-52,7
34:FC:B9:73:30:E2,lrz,-54,7
34:FC:B9:73:30:E3,mwn-events,-54,7
34:FC:B9:73:30:E4,@BayernWLAN,-52,7
34:FC:B9:73:30:E5,HM-iotroam,-54,7
F4:2E:7F:1B:49:20,eduroam,-72,7
F4:2E:7F:1B:49:22,lrz,-71,7
F4:2E:7F:1B:49:24,@BayernWLAN,-71,7
38:17:C3:44:90:60,eduroam,-84,7
38:17:C3:44:90:63,mwn-events,-85,7
38:17:C3:44:90:64,@BayernWLAN,-84,7
38:17:C3:44:90:65,HM-iotroam,-84,7
38:17:C3:44:90:62,lrz,-84,7
FC:7F:F1:C4:C8:C0,eduroam,-90,7
FC:7F:F1:C4:C8:C1,eduroam-IPv6only,-89,7
A0:25:D7:CA:A1:C4,mwn-events,-89,7
A0:25:D7:CA:A1:C5,HM-iotroam,-86,7
34:FC:B9:73:33:80,eduroam,-90,7
3A:3F:B3:09:5E:EC,Vodafone Hotspot,-91,7
38:17:C3:44:90:61,eduroam-IPv6only,-84,7
18:D6:C7:0F:63:8A,19BC,-42,7
E6:5F:01:D1:0F:68,main,-18,7
F4:2E:7F:1B:49:21,eduroam-IPv6only,-73,7
