bssid,essid,rssi,point
18:D6:C7:0F:63:8A,19BC,-36,16
E6:5F:01:D1:0F:68,main,-47,16
F4:2E:7F:1B:49:21,eduroam-IPv6only,-74,16
F4:2E:7F:1B:49:23,mwn-events,-74,16
F4:2E:7F:1B:49:25,HM-iotroam,-74,16
18:D6:C7:0A:8A:1F,1209,-33,16
60:E3:27:1C:2C:A4,1B45,-42,16
18:D6:C7:0C:AB:C7,1AD3,-38,16
34:FC:B9:73:30:E0,eduroam,-24,16
34:FC:B9:73:30:E1,eduroam-IPv6only,-24,16
34:FC:B9:73:30:E2,lrz,-24,16
34:FC:B9:73:30:E3,mwn-events,-24,16
34:FC:B9:73:30:E4,@BayernWLAN,-25,16
34:FC:B9:73:30:E5,HM-iotroam,-25,16
F4:2E:7F:1B:49:20,eduroam,-73,16
F4:2E:7F:1B:49:22,lrz,-74,16
F4:2E:7F:1B:49:24,@BayernWLAN,-74,16
38:17:C3:44:90:60,eduroam,-85,16
A0:25:D7:CA:A1:C1,eduroam-IPv6only,-83,16
A0:25:D7:CA:A1:C0,eduroam,-83,16
A0:25:D7:CA:A1:C2,@BayernWLAN,-83,16
A0:25:D7:CA:A1:C3,lrz,-84,16
A0:25:D7:CA:A1:C4,mwn-events,-84,16
A0:25:D7:CA:A1:C5,HM-iotroam,-84,16
38:17:C3:44:90:64,@BayernWLAN,-86,16
38:17:C3:44:90:62,lrz,-86,16
38:17:C3:44:90:63,mwn-events,-85,16
38:17:C3:44:90:65,HM-iotroam,-86,16
F4:2E:7F:1B:9B:C0,eduroam,-88,16
F4:2E:7F:1B:9B:C3,mwn-events,-89,16
3A:3F:B3:09:5E:EC,Vodafone Hotspot,-90,16
3A:3F:B3:09:5E:EA,Vodafone Homespot,-91,16
18:D6:C7:0F:63:8A,19BC,-39,16
E6:5F:01:D1:0F:68,main,-48,16
F4:2E:7F:1B:49:21,eduroam-IPv6only,-73,16
F4:2E:7F:1B:49:23,mwn-events,-74,16
F4:2E:7F:1B:49:25,HM-iotroam,-74,16
18:D6:C7:0A:8A:1F,1209,-34,16
60:E3:27:1C:2C:A4,1B45,-48,16
18:D6:C7:0C:AB:C7,1AD3,-38,16
34:FC:B9:73:30:E0,eduroam,-23,16
34:FC:B9:73:30:E1,eduroam-IPv6only,-24,16
34:FC:B9:73:30:E2,lrz,-24,16
34:FC:B9:73:30:E3,mwn-events,-27,16
34:FC:B9:73:30:E4,@BayernWLAN,-25,16
34:FC:B9:73:30:E5,HM-iotroam,-25,16
F4:2E:7F:1B:49:20,eduroam,-73,16
F4:2E:7F:1B:49:22,lrz,-73,16
F4:2E:7F:1B:49:24,@BayernWLAN,-73,16
A0:25:D7:CA:A1:C1,eduroam-IPv6only,-85,16
A0:25:D7:CA:A1:C0,eduroam,-83,16
A0:25:D7:CA:A1:C2,@BayernWLAN,-85,16
A0:25:D7:CA:A1:C3,lrz,-85,16
A0:25:D7:CA:A1:C4,mwn-events,-84,16
A0:25:D7:CA:A1:C5,HM-iotroam,-84,16
3A:3F:B3:09:5E:EC,Vodafone Hotspot,-90,16
3A:3F:B3:09:5E:EA,Vodafone Homespot,-88,16
38:3F:B3:09:5E:E8,Vodafone-5EE4,-88,16
18:D6:C7:0F:63:8A,19BC,-38,16
E6:5F:01:D1:0F:68,main,-47,16
F4:2E:7F:1B:49:21,eduroam-IPv6only,-74,16
F4:2E:7F:1B:49:23,mwn-events,-71,16
F4:2E:7F:1B:49:25,HM-iotroam,-71,16
18:D6:C7:0A:8A:1F,1209,-36,16
60:E3:27:1C:2C:A4,1B45,-45,16
18:D6:C7:0C:AB:C7,1AD3,-39,16
34:FC:B9:73:30:E0,eduroam,-24,16
34:FC:B9:73:30:E1,eduroam-IPv6only,-25,16
34:FC:B9:73:30:E2,lrz,-25,16
34:FC:B9:73:30:E3,mwn-events,-25,16
34:FC:B9:73:30:E4,@BayernWLAN,-25,16
34:FC:B9:73:30:E5,HM-iotroam,-26,16
F4:2E:7F:1B:49:20,eduroam,-72,16
F4:2E:7F:1B:49:22,lrz,-71,16
F4:2E:7F:1B:49:24,@BayernWLAN,-72,16
A0:25:D7:CA:A1:C1,eduroam-IPv6only,-83,16
A0:25:D7:CA:A1:C0,eduroam,-83,16
A0:25:D7:CA:A1:C2,@BayernWLAN,-83,16
A0:25:D7:CA:A1:C3,lrz,-82,16
A0:25:D7:CA:A1:C4,mwn-events,-84,16
A0:25:D7:CA:A1:C5,HM-iotroam,-83,16
3A:3F:B3:09:5E:EC,Vodafone Hotspot,-92,16
3A:3F:B3:09:5E:EA,Vodafone Homespot,-90,16
38:3F:B3:09:5E:E8,Vodafone-5EE4,-88,16
34:FC:B9:73:33:80,eduroam,-84,16
34:FC:B9:73:33:81,eduroam-IPv6only,-83,16
34:FC:B9:73:33:82,lrz,-84,16
34:FC:B9:73:33:83,mwn-events,-83,16
34:FC:B9:73:33:84,@BayernWLAN,-85,16
34:FC:B9:73:33:85,HM-iotroam,-83,16
38:17:C3:44:90:60,eduroam,-90,16
18:D6:C7:0F:63:8A,19BC,-38,16
E6:5F:01:D1:0F:68,main,-45,16
F4:2E:7F:1B:49:21,eduroam-IPv6only,-75,16
F4:2E:7F:1B:49:23,mwn-events,-72,16
F4:2E:7F:1B:49:25,HM-iotroam,-75,16
18:D6:C7:0A:8A:1F,1209,-34,16
60:E3:27:1C:2C:A4,1B45,-47,16
18:D6:C7:0C:AB:C7,1AD3,-40,16
34:FC:B9:73:30:E0,eduroam,-25,16
34:FC:B9:73:30:E1,eduroam-IPv6only,-31,16
34:FC:B9:73:30:E2,lrz,-25,16
34:FC:B9:73:30:E3,mwn-events,-26,16
34:FC:B9:73:30:E4,@BayernWLAN,-26,16
34:FC:B9:73:30:E5,HM-iotroam,-25,16
F4:2E:7F:1B:49:20,eduroam,-71,16
F4:2E:7F:1B:49:22,lrz,-71,16
F4:2E:7F:1B:49:24,@BayernWLAN,-72,16
A0:25:D7:CA:A1:C1,eduroam-IPv6only,-83,16
A0:25:D7:CA:A1:C0,eduroam,-83,16
A0:25:D7:CA:A1:C2,@BayernWLAN,-83,16
A0:25:D7:CA:A1:C3,lrz,-82,16
A0:25:D7:CA:A1:C4,mwn-events,-84,16
A0:25:D7:CA:A1:C5,HM-iotroam,-83,16
3A:3F:B3:09:5E:EC,Vodafone Hotspot,-90,16
3A:3F:B3:09:5E:EA,Vodafone Homespot,-93,16
38:3F:B3:09:5E:E8,Vodafone-5EE4,-89,16
34:FC:B9:73:33:80,eduroam,-84,16
34:FC:B9:73:33:81,eduroam-IPv6only,-83,16
34:FC:B9:73:33:82,lrz,-84,16
34:FC:B9:73:33:83,mwn-events,-83,16
