bssid,essid,rssi,point
18:D6:C7:0F:63:8A,19BC,-44,5
E6:5F:01:D1:0F:68,main,-44,5
F4:2E:7F:1B:49:21,eduroam-IPv6only,-58,5
F4:2E:7F:1B:49:23,mwn-events,-59,5
F4:2E:7F:1B:49:25,HM-iotroam,-58,5
18:D6:C7:0A:8A:1F,1209,-39,5
60:E3:27:1C:2C:A4,1B45,-23,5
18:D6:C7:0C:AB:C7,1AD3,-46,5
34:FC:B9:73:30:E0,eduroam,-52,5
34:FC:B9:73:30:E1,eduroam-IPv6only,-50,5
34:FC:B9:73:30:E2,lrz,-53,5
34:FC:B9:73:30:E3,mwn-events,-55,5
34:FC:B9:73:30:E4,@BayernWLAN,-53,5
34:FC:B9:73:30:E5,HM-iotroam,-53,5
F4:2E:7F:1B:49:20,eduroam,-58,5
F4:2E:7F:1B:49:22,lrz,-59,5
F4:2E:7F:1B:49:24,@BayernWLAN,-57,5
3A:3F:B3:09:5E:EC,Vodafone Hotspot,-93,5
4C:1B:86:2F:07:73,o2-WLAN77,-91,5
A0:25:D7:CA:A1:C0,eduroam,-85,5
38:3F:B3:09:5E:E8,Vodafone-5EE4,-91,5
38:17:C3:44:90:60,eduroam,-80,5
3A:3F:B3:09:5E:EA,Vodafone Homespot,-93,5
F4:2E:7F:1B:9B:C0,eduroam,-88,5
A0:25:D7:CA:A1:C2,@BayernWLAN,-83,5
A0:25:D7:CA:A1:C3,lrz,-83,5
A0:25:D7:CA:A1:C4,mwn-events,-83,5
A0:25:D7:CA:A1:C5,HM-iotroam,-82,5
34:FC:B9:73:33:84,@BayernWLAN,-85,5
38:17:C3:44:90:62,lrz,-83,5
38:17:C3:44:90:63,mwn-events,-82,5
38:17:C3:44:90:64,@BayernWLAN,-83,5
38:17:C3:44:90:65,HM-iotroam,-84,5
18:D6:C7:0F:63:8A,19BC,-45,5
E6:5F:01:D1:0F:68,main,-42,5
F4:2E:7F:1B:49:21,eduroam-IPv6only,-59,5
F4:2E:7F:1B:49:23,mwn-events,-58,5
F4:2E:7F:1B:49:25,HM-iotroam,-58,5
18:D6:C7:0A:8A:1F,1209,-42,5
60:E3:27:1C:2C:A4,1B45,-22,5
18:D6:C7:0C:AB:C7,1AD3,-48,5
34:FC:B9:73:30:E0,eduroam,-54,5
34:FC:B9:73:30:E1,eduroam-IPv6only,-58,5
34:FC:B9:73:30:E2,lrz,-55,5
34:FC:B9:73:30:E3,mwn-events,-55,5
34:FC:B9:73:30:E4,@BayernWLAN,-55,5
