bssid,essid,rssi,point
34:FC:B9:73:30:E5,HM-iotroam,-37,12
F4:2E:7F:1B:49:20,eduroam,-72,12
F4:2E:7F:1B:49:22,lrz,-73,12
F4:2E:7F:1B:49:24,@BayernWLAN,-71,12
38:17:C3:44:90:60,eduroam,-88,12
A0:25:D7:CA:A1:C1,eduroam-IPv6only,-84,12
A0:25:D7:CA:A1:C0,eduroam,-84,12
A0:25:D7:CA:A1:C2,@BayernWLAN,-84,12
A0:25:D7:CA:A1:C3,lrz,-84,12
A0:25:D7:CA:A1:C4,mwn-events,-84,12
A0:25:D7:CA:A1:C5,HM-iotroam,-84,12
38:17:C3:44:90:61,eduroam-IPv6only,-87,12
38:17:C3:44:90:64,@BayernWLAN,-85,12
38:17:C3:44:90:62,lrz,-86,12
38:17:C3:44:90:63,mwn-events,-85,12
38:17:C3:44:90:65,HM-iotroam,-86,12
34:FC:B9:73:33:81,eduroam-IPv6only,-81,12
34:FC:B9:73:33:82,lrz,-82,12
34:FC:B9:73:33:83,mwn-events,-83,12
34:FC:B9:73:33:84,@BayernWLAN,-82,12
34:FC:B9:73:33:85,HM-iotroam,-83,12
F4:2E:7F:1B:9B:C0,eduroam,-89,12
34:FC:B9:73:33:80,eduroam,-82,12
18:D6:C7:0F:63:8A,19BC,-43,12
E6:5F:01:D1:0F:68,main,-36,12
F4:2E:7F:1B:49:21,eduroam-IPv6only,-72,12
F4:2E:7F:1B:49:23,mwn-events,-70,12
F4:2E:7F:1B:49:25,HM-iotroam,-70,12
18:D6:C7:0A:8A:1F,1209,-31,12
60:E3:27:1C:2C:A4,1B45,-42,12
18:D6:C7:0C:AB:C7,1AD3,-39,12
34:FC:B9:73:30:E0,eduroam,-36,12
34:FC:B9:73:30:E1,eduroam-IPv6only,-34,12
34:FC:B9:73:30:E2,lrz,-36,12
34:FC:B9:73:30:E3,mwn-events,-34,12
34:FC:B9:73:30:E4,@BayernWLAN,-36,12
34:FC:B9:73:30:E5,HM-iotroam,-37,12
F4:2E:7F:1B:49:20,eduroam,-69,12
F4:2E:7F:1B:49:22,lrz,-70,12
F4:2E:7F:1B:49:24,@BayernWLAN,-70,12
38:17:C3:44:90:60,eduroam,-85,12
A0:25:D7:CA:A1:C1,eduroam-IPv6only,-85,12
A0:25:D7:CA:A1:C0,eduroam,-84,12
A0:25:D7:CA:A1:C2,@BayernWLAN,-85,12
A0:25:D7:CA:A1:C3,lrz,-86,12
A0:25:D7:CA:A1:C4,mwn-events,-85,12
A0:25:D7:CA:A1:C5,HM-iotroam,-85,12
38:17:C3:44:90:61,eduroam-IPv6only,-87,12
38:17:C3:44:90:64,@BayernWLAN,-86,12
38:17:C3:44:90:62,lrz,-86,12
38:17:C3:44:90:63,mwn-events,-85,12
38:17:C3:44:90:65,HM-iotroam,-86,12
34:FC:B9:73:33:81,eduroam-IPv6only,-81,12
34:FC:B9:73:33:82,lrz,-82,12
34:FC:B9:73:33:83,mwn-events,-83,12
34:FC:B9:73:33:84,@BayernWLAN,-82,12
34:FC:B9:73:33:85,HM-iotroam,-83,12
F4:2E:7F:1B:9B:C0,eduroam,-88,12
34:FC:B9:73:33:80,eduroam,-82,12
F4:2E:7F:1B:9B:C3,mwn-events,-89,12
