bssid,essid,rssi,point
18:D6:C7:0F:63:8A,19BC,-46,8
E6:5F:01:D1:0F:68,main,-42,8
F4:2E:7F:1B:49:21,eduroam-IPv6only,-72,8
F4:2E:7F:1B:49:23,mwn-events,-73,8
F4:2E:7F:1B:49:25,HM-iotroam,-73,8
18:D6:C7:0A:8A:1F,1209,-22,8
60:E3:27:1C:2C:A4,1B45,-28,8
18:D6:C7:0C:AB:C7,1AD3,-34,8
34:FC:B9:73:30:E0,eduroam,-41,8
34:FC:B9:73:30:E1,eduroam-IPv6only,-43,8
34:FC:B9:73:30:E2,lrz,-49,8
34:FC:B9:73:30:E3,mwn-events,-50,8
34:FC:B9:73:30:E4,@BayernWLAN,-48,8
34:FC:B9:73:30:E5,HM-iotroam,-45,8
F4:2E:7F:1B:49:20,eduroam,-71,8
F4:2E:7F:1B:49:22,lrz,-72,8
F4:2E:7F:1B:49:24,@BayernWLAN,-73,8
38:17:C3:44:90:60,eduroam,-85,8
38:17:C3:44:90:63,mwn-events,-83,8
38:17:C3:44:90:64,@BayernWLAN,-83,8
38:17:C3:44:90:65,HM-iotroam,-83,8
FC:7F:F1:C4:C8:C0,eduroam,-90,8
A0:25:D7:CA:A1:C4,mwn-events,-88,8
34:FC:B9:73:33:80,eduroam,-90,8
38:17:C3:44:90:61,eduroam-IPv6only,-84,8
A0:25:D7:CA:A1:C0,eduroam,-87,8
C8:A6:08:41:9C:E2,ISB-ABT-BIT,-89,8
C8:A6:08:41:9C:E3,WLAN-MD,-89,8
C8:A6:08:41:9C:E1,ISB-GAST,-90,8
18:D6:C7:0F:63:8A,19BC,-51,8
E6:5F:01:D1:0F:68,main,-41,8
F4:2E:7F:1B:49:21,eduroam-IPv6only,-70,8
F4:2E:7F:1B:49:23,mwn-events,-71,8
F4:2E:7F:1B:49:25,HM-iotroam,-70,8
18:D6:C7:0A:8A:1F,1209,-24,8
60:E3:27:1C:2C:A4,1B45,-28,8
18:D6:C7:0C:AB:C7,1AD3,-34,8
34:FC:B9:73:30:E0,eduroam,-42,8
34:FC:B9:73:30:E1,eduroam-IPv6only,-42,8
34:FC:B9:73:30:E2,lrz,-44,8
34:FC:B9:73:30:E3,mwn-events,-43,8
34:FC:B9:73:30:E4,@BayernWLAN,-43,8
34:FC:B9:73:30:E5,HM-iotroam,-42,8
F4:2E:7F:1B:49:20,eduroam,-70,8
F4:2E:7F:1B:49:22,lrz,-70,8
F4:2E:7F:1B:49:24,@BayernWLAN,-71,8
38:17:C3:44:90:60,eduroam,-88,8
FC:7F:F1:C4:C8:C0,eduroam,-89,8
A0:25:D7:CA:A1:C4,mwn-events,-88,8
A0:25:D7:CA:A1:C0,eduroam,-87,8
C8:A6:08:41:9C:E2,ISB-ABT-BIT,-90,8
C8:A6:08:41:9C:E3,WLAN-MD,-89,8
C8:A6:08:41:9C:E1,ISB-GAST,-91,8
C8:A6:08:41:9C:E0,ISB-BYOD,-90,8
