bssid,essid,rssi,point
18:D6:C7:0F:63:8A,19BC,-41,9
E6:5F:01:D1:0F:68,main,-41,9
F4:2E:7F:1B:49:21,eduroam-IPv6only,-55,9
F4:2E:7F:1B:49:23,mwn-events,-53,9
F4:2E:7F:1B:49:25,HM-iotroam,-56,9
18:D6:C7:0A:8A:1F,1209,-39,9
60:E3:27:1C:2C:A4,1B45,-36,9
18:D6:C7:0C:AB:C7,1AD3,-46,9
34:FC:B9:73:30:E0,eduroam,-39,9
34:FC:B9:73:30:E1,eduroam-IPv6only,-40,9
34:FC:B9:73:30:E2,lrz,-40,9
34:FC:B9:73:30:E3,mwn-events,-40,9
34:FC:B9:73:30:E4,@BayernWLAN,-41,9
34:FC:B9:73:30:E5,HM-iotroam,-35,9
F4:2E:7F:1B:49:20,eduroam,-57,9
F4:2E:7F:1B:49:22,lrz,-56,9
F4:2E:7F:1B:49:24,@BayernWLAN,-54,9
38:17:C3:44:90:60,eduroam,-83,9
38:17:C3:44:90:64,@BayernWLAN,-83,9
38:17:C3:44:90:61,eduroam-IPv6only,-83,9
38:17:C3:44:90:62,lrz,-84,9
38:17:C3:44:90:63,mwn-events,-83,9
38:17:C3:44:90:65,HM-iotroam,-83,9
A0:25:D7:CA:A1:C0,eduroam,-80,9
A0:25:D7:CA:A1:C1,eduroam-IPv6only,-82,9
A0:25:D7:CA:A1:C2,@BayernWLAN,-82,9
A0:25:D7:CA:A1:C3,lrz,-81,9
A0:25:D7:CA:A1:C4,mwn-events,-82,9
F4:2E:7F:1B:9B:C0,eduroam,-89,9
A8:40:41:20:54:00,dragino-205400,-93,9
A0:25:D7:CA:A1:C5,HM-iotroam,-82,9
34:FC:B9:73:33:80,eduroam,-83,9
18:D6:C7:0F:63:8A,19BC,-41,9
E6:5F:01:D1:0F:68,main,-43,9
F4:2E:7F:1B:49:21,eduroam-IPv6only,-57,9
F4:2E:7F:1B:49:23,mwn-events,-58,9
F4:2E:7F:1B:49:25,HM-iotroam,-57,9
18:D6:C7:0A:8A:1F,1209,-34,9
60:E3:27:1C:2C:A4,1B45,-37,9
18:D6:C7:0C:AB:C7,1AD3,-40,9
34:FC:B9:73:30:E0,eduroam,-43,9
34:FC:B9:73:30:E1,eduroam-IPv6only,-40,9
34:FC:B9:73:30:E2,lrz,-41,9
34:FC:B9:73:30:E3,mwn-events,-43,9
34:FC:B9:73:30:E4,@BayernWLAN,-43,9
34:FC:B9:73:30:E5,HM-iotroam,-44,9
F4:2E:7F:1B:49:20,eduroam,-56,9
F4:2E:7F:1B:49:22,lrz,-57,9
F4:2E:7F:1B:49:24,@BayernWLAN,-57,9
38:17:C3:44:90:60,eduroam,-79,9
38:17:C3:44:90:64,@BayernWLAN,-80,9
38:17:C3:44:90:61,eduroam-IPv6only,-80,9
38:17:C3:44:90:62,lrz,-80,9
38:17:C3:44:90:63,mwn-events,-80,9
38:17:C3:44:90:65,HM-iotroam,-79,9
A0:25:D7:CA:A1:C0,eduroam,-80,9
