bssid,essid,rssi,point
18:D6:C7:0F:63:8A,19BC,-39,6
E6:5F:01:D1:0F:68,main,-39,6
F4:2E:7F:1B:49:21,eduroam-IPv6only,-65,6
F4:2E:7F:1B:49:23,mwn-events,-66,6
F4:2E:7F:1B:49:25,HM-iotroam,-66,6
18:D6:C7:0A:8A:1F,1209,-31,6
60:E3:27:1C:2C:A4,1B45,-24,6
18:D6:C7:0C:AB:C7,1AD3,-39,6
34:FC:B9:73:30:E0,eduroam,-41,6
34:FC:B9:73:30:E1,eduroam-IPv6only,-50,6
34:FC:B9:73:30:E2,lrz,-42,6
34:FC:B9:73:30:E3,mwn-events,-43,6
34:FC:B9:73:30:E4,@BayernWLAN,-42,6
34:FC:B9:73:30:E5,HM-iotroam,-50,6
F4:2E:7F:1B:49:20,eduroam,-65,6
F4:2E:7F:1B:49:22,lrz,-66,6
F4:2E:7F:1B:49:24,@BayernWLAN,-66,6
A0:25:D7:CA:A1:C0,eduroam,-82,6
38:17:C3:44:90:60,eduroam,-82,6
F4:2E:7F:1B:9B:C0,eduroam,-89,6
A0:25:D7:CA:A1:C2,@BayernWLAN,-83,6
A0:25:D7:CA:A1:C3,lrz,-83,6
A0:25:D7:CA:A1:C4,mwn-events,-82,6
A0:25:D7:CA:A1:C5,HM-iotroam,-83,6
38:17:C3:44:90:63,mwn-events,-86,6
38:17:C3:44:90:64,@BayernWLAN,-83,6
38:17:C3:44:90:65,HM-iotroam,-82,6
A0:25:D7:CA:A1:C1,eduroam-IPv6only,-82,6
24:62:CE:19:9E:20,eduroam,-89,6
38:17:C3:44:90:61,eduroam-IPv6only,-82,6
34:FC:B9:73:33:85,HM-iotroam,-86,6
4C:1B:86:2F:07:73,o2-WLAN77,-94,6
18:D6:C7:0F:63:8A,19BC,-41,6
E6:5F:01:D1:0F:68,main,-36,6
F4:2E:7F:1B:49:21,eduroam-IPv6only,-65,6
F4:2E:7F:1B:49:23,mwn-events,-65,6
F4:2E:7F:1B:49:25,HM-iotroam,-65,6
18:D6:C7:0A:8A:1F,1209,-30,6
60:E3:27:1C:2C:A4,1B45,-25,6
18:D6:C7:0C:AB:C7,1AD3,-39,6
34:FC:B9:73:30:E0,eduroam,-41,6
34:FC:B9:73:30:E1,eduroam-IPv6only,-42,6
34:FC:B9:73:30:E2,lrz,-42,6
34:FC:B9:73:30:E3,mwn-events,-42,6
34:FC:B9:73:30:E4,@BayernWLAN,-43,6
34:FC:B9:73:30:E5,HM-iotroam,-42,6
F4:2E:7F:1B:49:20,eduroam,-65,6
F4:2E:7F:1B:49:22,lrz,-65,6
F4:2E:7F:1B:49:24,@BayernWLAN,-66,6
38:17:C3:44:90:60,eduroam,-87,6
38:17:C3:44:90:63,mwn-events,-86,6
38:17:C3:44:90:64,@BayernWLAN,-88,6
38:17:C3:44:90:65,HM-iotroam,-87,6
38:17:C3:44:90:61,eduroam-IPv6only,-82,6
4C:1B:86:2F:07:73,o2-WLAN77,-94,6
18:D6:C7:0F:63:8A,19BC,-39,6
E6:5F:01:D1:0F:68,main,-36,6
F4:2E:7F:1B:49:21,eduroam-IPv6only,-65,6
F4:2E:7F:1B:49:23,mwn-events,-66,6
F4:2E:7F:1B:49:25,HM-iotroam,-66,6
18:D6:C7:0A:8A:1F,1209,-31,6
60:E3:27:1C:2C:A4,1B45,-24,6
18:D6:C7:0C:AB:C7,1AD3,-38,6
34:FC:B9:73:30:E0,eduroam,-42,6
34:FC:B9:73:30:E1,eduroam-IPv6only,-43,6
34:FC:B9:73:30:E2,lrz,-41,6
34:FC:B9:73:30:E3,mwn-events,-41,6
34:FC:B9:73:30:E4,@BayernWLAN,-42,6
34:FC:B9:73:30:E5,HM-iotroam,-43,6
F4:2E:7F:1B:49:20,eduroam,-65,6
F4:2E:7F:1B:49:22,lrz,-67,6
F4:2E:7F:1B:49:24,@BayernWLAN,-66,6
38:17:C3:44:90:60,eduroam,-87,6
38:17:C3:44:90:63,mwn-events,-87,6
38:17:C3:44:90:64,@BayernWLAN,-88,6
38:17:C3:44:90:65,HM-iotroam,-87,6
4C:1B:86:2F:07:73,o2-WLAN77,-89,6
18:D6:C7:0F:63:8A,19BC,-39,6
E6:5F:01:D1:0F:68,main,-37,6
F4:2E:7F:1B:49:21,eduroam-IPv6only,-65,6
F4:2E:7F:1B:49:23,mwn-events,-67,6
F4:2E:7F:1B:49:25,HM-iotroam,-65,6
18:D6:C7:0A:8A:1F,1209,-33,6
60:E3:27:1C:2C:A4,1B45,-23,6
18:D6:C7:0C:AB:C7,1AD3,-38,6
34:FC:B9:73:30:E0,eduroam,-41,6
34:FC:B9:73:30:E1,eduroam-IPv6only,-41,6
34:FC:B9:73:30:E2,lrz,-42,6
34:FC:B9:73:30:E3,mwn-events,-42,6
34:FC:B9:73:30:E4,@BayernWLAN,-41,6
34:FC:B9:73:30:E5,HM-iotroam,-42,6
F4:2E:7F:1B:49:20,eduroam,-66,6
F4:2E:7F:1B:49:22,lrz,-65,6
F4:2E:7F:1B:49:24,@BayernWLAN,-66,6
38:17:C3:44:90:60,eduroam,-87,6
38:17:C3:44:90:63,mwn-events,-89,6
38:17:C3:44:90:64,@BayernWLAN,-88,6
38:17:C3:44:90:65,HM-iotroam,-87,6
4C:1B:86:2F:07:73,o2-WLAN77,-89,6
F4:2E:7F:1B:9B:C0,eduroam,-89,6
A0:25:D7:CA:A1:C0,eduroam,-76,6
A0:25:D7:CA:A1:C1,eduroam-IPv6only,-77,6
A0:25:D7:CA:A1:C2,@BayernWLAN,-76,6
A0:25:D7:CA:A1:C3,lrz,-77,6
A0:25:D7:CA:A1:C4,mwn-events,-76,6
A0:25:D7:CA:A1:C5,HM-iotroam,-76,6
38:17:C3:44:90:62,lrz,-88,6
18:D6:C7:0F:63:8A,19BC,-39,6
E6:5F:01:D1:0F:68,main,-36,6
F4:2E:7F:1B:49:21,eduroam-IPv6only,-67,6
F4:2E:7F:1B:49:23,mwn-events,-65,6
F4:2E:7F:1B:49:25,HM-iotroam,-65,6
18:D6:C7:0A:8A:1F,1209,-32,6
60:E3:27:1C:2C:A4,1B45,-23,6
18:D6:C7:0C:AB:C7,1AD3,-36,6
34:FC:B9:73:30:E0,eduroam,-41,6
34:FC:B9:73:30:E1,eduroam-IPv6only,-43,6
34:FC:B9:73:30:E2,lrz,-43,6
34:FC:B9:73:30:E3,mwn-events,-41,6
34:FC:B9:73:30:E4,@BayernWLAN,-41,6
34:FC:B9:73:30:E5,HM-iotroam,-42,6
F4:2E:7F:1B:49:20,eduroam,-62,6
F4:2E:7F:1B:49:22,lrz,-65,6
F4:2E:7F:1B:49:24,@BayernWLAN,-65,6
38:17:C3:44:90:60,eduroam,-86,6
38:17:C3:44:90:63,mwn-events,-87,6
38:17:C3:44:90:64,@BayernWLAN,-87,6
38:17:C3:44:90:65,HM-iotroam,-87,6
4C:1B:86:2F:07:73,o2-WLAN77,-92,6
F4:2E:7F:1B:9B:C0,eduroam,-89,6
A0:25:D7:CA:A1:C0,eduroam,-76,6
A0:25:D7:CA:A1:C1,eduroam-IPv6only,-77,6
A0:25:D7:CA:A1:C2,@BayernWLAN,-76,6
A0:25:D7:CA:A1:C3,lrz,-77,6
A0:25:D7:CA:A1:C4,mwn-events,-77,6
A0:25:D7:CA:A1:C5,HM-iotroam,-76,6
38:17:C3:44:90:62,lrz,-87,6
38:17:C3:44:90:61,eduroam-IPv6only,-86,6
