bssid,essid,rssi,point
18:D6:C7:0F:63:8A,19BC,-31,1
E6:5F:01:D1:0F:68,main,-38,1
F4:2E:7F:1B:49:21,eduroam-IPv6only,-61,1
F4:2E:7F:1B:49:23,mwn-events,-61,1
F4:2E:7F:1B:49:25,HM-iotroam,-62,1
18:D6:C7:0A:8A:1F,1209,-36,1
60:E3:27:1C:2C:A4,1B45,-27,1
18:D6:C7:0C:AB:C7,1AD3,-43,1
34:FC:B9:73:30:E0,eduroam,-53,1
34:FC:B9:73:30:E1,eduroam-IPv6only,-54,1
34:FC:B9:73:30:E2,lrz,-54,1
34:FC:B9:73:30:E3,mwn-events,-53,1
34:FC:B9:73:30:E4,@BayernWLAN,-54,1
34:FC:B9:73:30:E5,HM-iotroam,-54,1
F4:2E:7F:1B:49:20,eduroam,-61,1
F4:2E:7F:1B:49:22,lrz,-61,1
F4:2E:7F:1B:49:24,@BayernWLAN,-61,1
34:FC:B9:73:33:80,eduroam,-83,1
38:17:C3:44:90:60,eduroam,-84,1
A8:40:41:20:54:00,dragino-205400,-86,1
A0:25:D7:CA:A1:C0,eduroam,-79,1
A0:25:D7:CA:A1:C1,eduroam-IPv6only,-78,1
A0:25:D7:CA:A1:C2,@BayernWLAN,-79,1
A0:25:D7:CA:A1:C3,lrz,-78,1
A0:25:D7:CA:A1:C4,mwn-events,-80,1
A0:25:D7:CA:A1:C5,HM-iotroam,-78,1
24:62:CE:19:A2:00,eduroam,-85,1
18:D6:C7:0F:63:8A,19BC,-33,1
E6:5F:01:D1:0F:68,main,-40,1
F4:2E:7F:1B:49:21,eduroam-IPv6only,-60,1
F4:2E:7F:1B:49:23,mwn-events,-61,1
F4:2E:7F:1B:49:25,HM-iotroam,-60,1
18:D6:C7:0A:8A:1F,1209,-40,1
60:E3:27:1C:2C:A4,1B45,-26,1
18:D6:C7:0C:AB:C7,1AD3,-44,1
34:FC:B9:73:30:E0,eduroam,-50,1
34:FC:B9:73:30:E1,eduroam-IPv6only,-50,1
34:FC:B9:73:30:E2,lrz,-50,1
34:FC:B9:73:30:E3,mwn-events,-51,1
34:FC:B9:73:30:E4,@BayernWLAN,-51,1
34:FC:B9:73:30:E5,HM-iotroam,-51,1
F4:2E:7F:1B:49:20,eduroam,-61,1
F4:2E:7F:1B:49:22,lrz,-60,1
F4:2E:7F:1B:49:24,@BayernWLAN,-60,1
34:FC:B9:73:33:80,eduroam,-83,1
38:17:C3:44:90:60,eduroam,-83,1
A8:40:41:20:54:00,dragino-205400,-88,1
A0:25:D7:CA:A1:C0,eduroam,-79,1
A0:25:D7:CA:A1:C1,eduroam-IPv6only,-78,1
A0:25:D7:CA:A1:C2,@BayernWLAN,-79,1
A0:25:D7:CA:A1:C3,lrz,-78,1
A0:25:D7:CA:A1:C4,mwn-events,-80,1
A0:25:D7:CA:A1:C5,HM-iotroam,-78,1
24:62:CE:19:A2:00,eduroam,-86,1
F4:2E:7F:1B:9B:C0,eduroam,-88,1
18:D6:C7:0F:63:8A,19BC,-33,1
E6:5F:01:D1:0F:68,main,-38,1
F4:2E:7F:1B:49:21,eduroam-IPv6only,-61,1
F4:2E:7F:1B:49:23,mwn-events,-61,1
F4:2E:7F:1B:49:25,HM-iotroam,-61,1
18:D6:C7:0A:8A:1F,1209,-39,1
60:E3:27:1C:2C:A4,1B45,-25,1
18:D6:C7:0C:AB:C7,1AD3,-41,1
34:FC:B9:73:30:E0,eduroam,-49,1
34:FC:B9:73:30:E1,eduroam-IPv6only,-49,1
34:FC:B9:73:30:E2,lrz,-50,1
34:FC:B9:73:30:E3,mwn-events,-48,1
34:FC:B9:73:30:E4,@BayernWLAN,-50,1
34:FC:B9:73:30:E5,HM-iotroam,-48,1
F4:2E:7F:1B:49:20,eduroam,-61,1
F4:2E:7F:1B:49:22,lrz,-60,1
F4:2E:7F:1B:49:24,@BayernWLAN,-61,1
34:FC:B9:73:33:80,eduroam,-85,1
38:17:C3:44:90:60,eduroam,-83,1
A8:40:41:20:54:00,dragino-205400,-88,1
A0:25:D7:CA:A1:C0,eduroam,-79,1
A0:25:D7:CA:A1:C1,eduroam-IPv6only,-78,1
A0:25:D7:CA:A1:C2,@BayernWLAN,-80,1
A0:25:D7:CA:A1:C3,lrz,-80,1
A0:25:D7:CA:A1:C4,mwn-events,-78,1
A0:25:D7:CA:A1:C5,HM-iotroam,-78,1
24:62:CE:19:A2:00,eduroam,-85,1
F4:2E:7F:1B:9B:C0,eduroam,-88,1
34:FC:B9:73:33:84,@BayernWLAN,-86,1
34:FC:B9:73:33:85,HM-iotroam,-86,1
18:D6:C7:0F:63:8A,19BC,-30,1
E6:5F:01:D1:0F:68,main,-38,1
F4:2E:7F:1B:49:21,eduroam-IPv6only,-60,1
F4:2E:7F:1B:49:23,mwn-events,-59,1
F4:2E:7F:1B:49:25,HM-iotroam,-60,1
18:D6:C7:0A:8A:1F,1209,-38,1
60:E3:27:1C:2C:A4,1B45,-26,1
18:D6:C7:0C:AB:C7,1AD3,-43,1
34:FC:B9:73:30:E0,eduroam,-53,1
34:FC:B9:73:30:E1,eduroam-IPv6only,-53,1
34:FC:B9:73:30:E2,lrz,-53,1
34:FC:B9:73:30:E3,mwn-events,-53,1
34:FC:B9:73:30:E4,@BayernWLAN,-53,1
34:FC:B9:73:30:E5,HM-iotroam,-53,1
F4:2E:7F:1B:49:20,eduroam,-59,1
F4:2E:7F:1B:49:22,lrz,-60,1
F4:2E:7F:1B:49:24,@BayernWLAN,-60,1
34:FC:B9:73:33:80,eduroam,-86,1
38:17:C3:44:90:60,eduroam,-83,1
A8:40:41:20:54:00,dragino-205400,-87,1
A0:25:D7:CA:A1:C0,eduroam,-79,1
A0:25:D7:CA:A1:C1,eduroam-IPv6only,-79,1
A0:25:D7:CA:A1:C2,@BayernWLAN,-78,1
A0:25:D7:CA:A1:C3,lrz,-78,1
A0:25:D7:CA:A1:C4,mwn-events,-78,1
A0:25:D7:CA:A1:C5,HM-iotroam,-79,1
24:62:CE:19:A2:00,eduroam,-86,1
F4:2E:7F:1B:9B:C0,eduroam,-88,1
34:FC:B9:73:33:84,@BayernWLAN,-86,1
34:FC:B9:73:33:85,HM-iotroam,-86,1
18:D6:C7:0F:63:8A,19BC,-34,1
E6:5F:01:D1:0F:68,main,-38,1
F4:2E:7F:1B:49:21,eduroam-IPv6only,-61,1
F4:2E:7F:1B:49:23,mwn-events,-61,1
F4:2E:7F:1B:49:25,HM-iotroam,-62,1
18:D6:C7:0A:8A:1F,1209,-37,1
60:E3:27:1C:2C:A4,1B45,-25,1
18:D6:C7:0C:AB:C7,1AD3,-43,1
34:FC:B9:73:30:E0,eduroam,-50,1
34:FC:B9:73:30:E1,eduroam-IPv6only,-49,1
34:FC:B9:73:30:E2,lrz,-50,1
34:FC:B9:73:30:E3,mwn-events,-50,1
34:FC:B9:73:30:E4,@BayernWLAN,-53,1
34:FC:B9:73:30:E5,HM-iotroam,-58,1
F4:2E:7F:1B:49:20,eduroam,-59,1
F4:2E:7F:1B:49:22,lrz,-61,1
F4:2E:7F:1B:49:24,@BayernWLAN,-61,1
34:FC:B9:73:33:80,eduroam,-86,1
38:17:C3:44:90:60,eduroam,-86,1
A8:40:41:20:54:00,dragino-205400,-87,1
A0:25:D7:CA:A1:C0,eduroam,-79,1
A0:25:D7:CA:A1:C1,eduroam-IPv6only,-79,1
A0:25:D7:CA:A1:C2,@BayernWLAN,-80,1
A0:25:D7:CA:A1:C3,lrz,-78,1
A0:25:D7:CA:A1:C4,mwn-events,-79,1
A0:25:D7:CA:A1:C5,HM-iotroam,-79,1
24:62:CE:19:A2:00,eduroam,-87,1
F4:2E:7F:1B:9B:C0,eduroam,-89,1
34:FC:B9:73:33:84,@BayernWLAN,-86,1
34:FC:B9:73:33:85,HM-iotroam,-85,1
34:FC:B9:73:33:81,eduroam-IPv6only,-86,1
